sleep_hours,stress_level,mental_health_rating,exercise_frequency,social_activity,exam_score,health_score,health_category
6.2,5.8,6.0,3,0,100,0.41,Medium
7.2,5.8,6.8,4,5,99,0.54,Medium
9.2,8.0,5.7,4,5,98,0.5,Medium
4.2,4.6,8.5,3,3,100,0.5,Medium
6.5,5.7,9.2,6,2,98,0.64,Medium
9.2,1.5,9.2,3,2,94,0.77,High
8.5,2.5,5.8,6,3,97,0.66,Medium
7.4,5.3,4.8,5,3,84,0.49,Medium
7.6,4.0,3.5,0,3,70,0.36,Medium
7.2,3.3,5.9,6,1,100,0.59,Medium
6.9,3.7,7.8,2,3,100,0.56,Medium
8.1,2.0,4.0,1,0,100,0.45,Medium
7.4,3.8,5.6,1,2,96,0.46,Medium
5.9,5.9,8.1,6,2,83,0.57,Medium
8.0,7.5,7.3,2,5,77,0.49,Medium
8.0,4.7,10.0,1,2,87,0.62,Medium
9.7,5.9,9.9,6,0,100,0.75,High
8.8,4.9,5.8,2,3,93,0.51,Medium
9.1,6.2,9.6,4,5,88,0.7,High
5.4,2.4,7.9,6,3,92,0.65,Medium
6.4,5.0,8.1,7,1,60,0.63,Medium
5.2,4.9,6.4,0,5,82,0.39,Medium
7.8,6.8,7.3,7,1,100,0.59,Medium
6.5,6.1,9.3,1,1,100,0.5,Medium
5.2,9.5,1.8,1,5,80,0.1,Low
7.7,6.6,7.4,5,5,89,0.58,Medium
4.0,3.8,10.0,7,2,92,0.67,Medium
7.8,7.1,8.7,7,4,88,0.66,Medium
7.7,5.3,4.7,2,2,95,0.41,Medium
5.8,3.9,4.5,4,4,100,0.45,Medium
6.8,7.8,5.1,7,1,100,0.44,Medium
6.8,4.3,5.2,3,4,93,0.47,Medium
7.1,4.3,6.6,7,5,94,0.64,Medium
5.3,6.9,5.4,7,0,76,0.42,Medium
7.5,3.9,6.7,0,1,100,0.47,Medium
6.3,5.1,7.8,6,3,89,0.6,Medium
6.4,5.9,8.8,0,4,86,0.48,Medium
7.9,3.3,4.5,2,3,100,0.47,Medium
9.4,2.4,9.8,6,3,100,0.85,High
7.4,7.9,3.8,6,4,100,0.41,Medium
8.9,8.4,5.0,4,4,80,0.44,Medium
6.8,5.6,8.1,7,5,91,0.65,Medium
6.9,6.0,7.3,6,3,100,0.57,Medium
4.4,5.4,8.5,5,2,96,0.53,Medium
8.7,4.4,6.1,2,5,100,0.55,Medium
5.9,4.9,8.8,7,1,78,0.64,Medium
5.2,4.9,9.0,3,0,99,0.52,Medium
7.6,7.2,4.8,7,5,100,0.5,Medium
6.8,5.2,8.8,2,4,84,0.56,Medium
6.1,4.4,4.4,5,5,84,0.47,Medium
8.4,8.1,7.0,4,4,79,0.51,Medium
5.6,7.3,6.5,2,2,88,0.36,Medium
6.5,6.3,5.3,7,2,98,0.49,Medium
6.7,2.1,7.4,6,0,70,0.66,Medium
5.8,4.0,9.5,5,1,100,0.64,Medium
7.0,7.7,5.5,2,4,98,0.37,Medium
7.5,7.2,9.6,1,4,79,0.54,Medium
4.6,6.4,9.2,2,2,88,0.46,Medium
6.2,5.8,5.4,5,5,96,0.47,Medium
6.6,8.7,5.5,2,1,100,0.31,Low
7.0,5.4,3.4,7,4,97,0.47,Medium
7.9,4.0,9.0,1,2,100,0.6,Medium
5.0,6.0,8.6,2,1,75,0.45,Medium
9.1,3.6,9.2,7,3,96,0.81,High
6.0,6.0,3.8,5,1,99,0.37,Medium
6.6,4.2,7.3,0,0,83,0.45,Medium
9.6,6.4,8.1,5,0,76,0.63,Medium
8.6,7.3,10.0,6,4,79,0.71,High
5.1,8.4,5.5,1,3,86,0.26,Low
8.7,5.3,6.7,7,5,97,0.67,Medium
5.1,4.4,6.6,7,4,96,0.56,Medium
8.6,1.0,8.7,6,4,85,0.83,High
7.8,8.9,8.1,5,0,99,0.51,Medium
9.3,4.9,5.8,7,0,100,0.62,Medium
5.9,4.5,3.5,2,3,100,0.34,Medium
7.3,7.9,5.6,0,1,98,0.31,Low
5.6,4.1,6.3,5,5,77,0.54,Medium
7.8,6.8,7.1,7,5,100,0.61,Medium
6.5,4.0,8.8,3,3,100,0.6,Medium
9.2,4.1,3.9,5,2,70,0.53,Medium
7.6,5.8,8.7,6,5,96,0.67,High
4.0,3.6,6.9,3,1,100,0.44,Medium
7.9,1.8,7.5,0,4,53,0.6,Medium
8.5,2.6,5.0,4,0,96,0.56,Medium
7.2,7.5,5.2,0,5,100,0.33,Low
6.8,4.1,6.3,3,0,100,0.49,Medium
8.8,4.3,2.9,7,3,100,0.53,Medium
6.4,6.6,7.0,7,3,94,0.55,Medium
6.9,6.3,6.0,4,5,75,0.48,Medium
6.7,5.3,7.1,6,5,100,0.59,Medium
5.9,7.1,2.8,6,3,94,0.33,Low
6.9,4.7,6.4,3,5,83,0.52,Medium
8.4,1.5,8.8,1,3,97,0.69,High
7.7,4.9,8.4,5,4,96,0.66,Medium
4.8,6.7,8.7,4,4,73,0.5,Medium
8.7,3.0,7.6,7,4,84,0.76,High
5.8,4.5,10.0,5,0,97,0.64,Medium
4.4,6.1,3.9,5,0,72,0.31,Low
7.3,3.7,3.5,2,2,88,0.4,Medium
7.9,3.2,6.1,6,3,92,0.64,Medium
7.4,4.5,7.0,2,2,100,0.52,Medium
8.7,3.1,6.0,2,1,92,0.55,Medium
4.9,2.9,5.7,2,5,92,0.45,Medium
4.8,5.1,5.4,0,2,71,0.31,Low
7.9,6.3,6.0,6,5,100,0.56,Medium
6.1,3.2,7.5,3,3,76,0.56,Medium
9.8,5.7,10.0,7,4,89,0.81,High
7.1,3.1,9.0,3,4,100,0.66,Medium
5.7,4.5,10.0,1,2,80,0.56,Medium
8.8,6.2,3.6,2,1,94,0.37,Medium
6.2,2.3,6.1,4,2,95,0.55,Medium
4.8,1.0,5.8,4,4,93,0.55,Medium
10.4,5.0,8.4,4,5,100,0.72,High
5.8,1.0,2.8,1,2,100,0.37,Medium
7.2,4.9,9.0,4,1,69,0.62,Medium
5.8,5.4,6.5,2,1,65,0.41,Medium
8.1,6.8,7.0,1,1,89,0.44,Medium
8.6,4.8,8.3,6,5,100,0.72,High
7.6,10.0,10.0,7,5,93,0.63,Medium
4.4,1.8,10.0,6,1,90,0.7,High
6.6,5.5,9.3,1,2,63,0.53,Medium
5.9,5.5,6.2,6,4,92,0.52,Medium
9.3,3.6,7.0,6,0,86,0.68,High
7.8,2.0,9.4,0,1,100,0.64,Medium
7.9,4.3,10.0,6,0,98,0.74,High
8.4,6.5,8.0,6,1,97,0.62,Medium
10.4,10.0,6.1,4,1,74,0.46,Medium
7.0,3.9,5.2,1,5,97,0.45,Medium
8.0,3.8,2.1,5,5,80,0.46,Medium
7.8,1.0,4.8,6,4,99,0.65,Medium
5.9,5.9,8.0,4,2,93,0.52,Medium
9.6,5.5,6.3,5,1,94,0.59,Medium
7.2,5.9,6.8,2,1,87,0.45,Medium
7.6,3.0,6.1,2,0,75,0.51,Medium
8.3,5.1,3.4,5,3,58,0.46,Medium
4.0,5.1,6.0,3,3,84,0.38,Medium
9.4,5.7,6.7,3,3,99,0.57,Medium
5.6,1.9,4.5,1,3,68,0.42,Medium
4.8,5.6,10.0,1,5,100,0.52,Medium
7.8,5.2,6.7,2,3,100,0.51,Medium
9.4,2.7,6.0,0,4,98,0.56,Medium
6.2,4.4,4.9,6,2,50,0.49,Medium
6.7,7.3,2.4,3,5,72,0.28,Low
9.0,2.3,6.8,7,3,93,0.75,High
7.6,6.3,3.8,3,5,100,0.39,Medium
