student_id,diet_quality,exam_score,diet_category,food_suggestions
1,Poor,100,Poor,Improve diet quality
2,Good,99,Good,Good dietary habits
3,Good,98,Good,Good dietary habits
4,Fair,100,Fair,Good dietary habits
5,Good,98,Good,Good dietary habits
6,Good,94,Good,Good dietary habits
7,Good,97,Good,Good dietary habits
8,Fair,84,Fair,Good dietary habits
9,Fair,70,Fair,Good dietary habits
10,Fair,100,Fair,Good dietary habits
11,Poor,100,Poor,Improve diet quality
12,Good,100,Good,Good dietary habits
13,Good,96,Good,Good dietary habits
14,Poor,83,Poor,Improve diet quality
15,Good,77,Good,Good dietary habits
16,Fair,87,Fair,Good dietary habits
17,Good,100,Good,Good dietary habits
18,Fair,93,Fair,Good dietary habits
19,Fair,88,Fair,Good dietary habits
20,Good,92,Good,Good dietary habits
21,Fair,60,Fair,Good dietary habits
22,Good,82,Good,Good dietary habits
23,Good,100,Good,Good dietary habits
24,Good,100,Good,Good dietary habits
25,Poor,80,Poor,Improve diet quality
26,Fair,89,Fair,Good dietary habits
27,Good,92,Good,Good dietary habits
28,Poor,88,Poor,Improve diet quality
29,Good,95,Good,Good dietary habits
30,Fair,100,Fair,Good dietary habits
31,Fair,100,Fair,Good dietary habits
32,Fair,93,Fair,Good dietary habits
33,Good,94,Good,Good dietary habits
34,Fair,76,Fair,Good dietary habits
35,Good,100,Good,Good dietary habits
36,Good,89,Good,Good dietary habits
37,Fair,86,Fair,Good dietary habits
38,Poor,100,Poor,Improve diet quality
39,Good,100,Good,Good dietary habits
40,Good,100,Good,Good dietary habits
41,Fair,80,Fair,Good dietary habits
42,Good,91,Good,Good dietary habits
43,Poor,100,Poor,Improve diet quality
44,Fair,96,Fair,Good dietary habits
45,Poor,100,Poor,Improve diet quality
46,Good,78,Good,Good dietary habits
47,Poor,99,Poor,Improve diet quality
48,Fair,100,Fair,Good dietary habits
49,Fair,84,Fair,Good dietary habits
50,Fair,84,Fair,Good dietary habits
51,Fair,79,Fair,Good dietary habits
52,Fair,88,Fair,Good dietary habits
53,Fair,98,Fair,Good dietary habits
54,Fair,70,Fair,Good dietary habits
55,Good,100,Good,Good dietary habits
56,Good,98,Good,Good dietary habits
57,Fair,79,Fair,Good dietary habits
58,Good,88,Good,Good dietary habits
59,Good,96,Good,Good dietary habits
60,Fair,100,Fair,Good dietary habits
61,Fair,97,Fair,Good dietary habits
62,Good,100,Good,Good dietary habits
63,Good,75,Good,Good dietary habits
64,Poor,96,Poor,Improve diet quality
65,Fair,99,Fair,Good dietary habits
66,Fair,83,Fair,Good dietary habits
67,Good,76,Good,Good dietary habits
68,Good,79,Good,Good dietary habits
69,Good,86,Good,Good dietary habits
70,Good,97,Good,Good dietary habits
71,Good,96,Good,Good dietary habits
72,Good,85,Good,Good dietary habits
73,Good,99,Good,Good dietary habits
74,Good,100,Good,Good dietary habits
75,Good,100,Good,Good dietary habits
76,Fair,98,Fair,Good dietary habits
77,Fair,77,Fair,Good dietary habits
78,Fair,100,Fair,Good dietary habits
79,Good,100,Good,Good dietary habits
80,Good,70,Good,Good dietary habits
81,Fair,96,Fair,Good dietary habits
82,Poor,100,Poor,Improve diet quality
83,Fair,53,Fair,Good dietary habits
84,Poor,96,Poor,Improve diet quality
85,Fair,100,Fair,Good dietary habits
86,Good,100,Good,Good dietary habits
87,Fair,100,Fair,Good dietary habits
88,Fair,94,Fair,Good dietary habits
89,Good,75,Good,Good dietary habits
90,Good,100,Good,Good dietary habits
91,Poor,94,Poor,Improve diet quality
92,Fair,83,Fair,Good dietary habits
93,Good,97,Good,Good dietary habits
94,Fair,96,Fair,Good dietary habits
95,Fair,73,Fair,Good dietary habits
96,Good,84,Good,Good dietary habits
97,Fair,97,Fair,Good dietary habits
98,Good,72,Good,Good dietary habits
99,Good,88,Good,Good dietary habits
100,Good,92,Good,Good dietary habits
101,Good,100,Good,Good dietary habits
102,Fair,92,Fair,Good dietary habits
103,Good,92,Good,Good dietary habits
104,Fair,71,Fair,Good dietary habits
105,Good,100,Good,Good dietary habits
106,Fair,76,Fair,Good dietary habits
107,Fair,89,Fair,Good dietary habits
108,Fair,100,Fair,Good dietary habits
109,Good,80,Good,Good dietary habits
110,Fair,94,Fair,Good dietary habits
111,Fair,95,Fair,Good dietary habits
112,Good,93,Good,Good dietary habits
113,Good,100,Good,Good dietary habits
114,Good,100,Good,Good dietary habits
115,Good,69,Good,Good dietary habits
116,Good,65,Good,Good dietary habits
