student_id,sleep_hours,stress_level,mental_health_rating,exercise_frequency,social_activity,exam_score,health_score,health_category
1,6.2,5.8,6.0,3,0,100,0.41,Medium
2,7.2,5.8,6.8,4,5,99,0.54,Medium
3,9.2,8.0,5.7,4,5,98,0.5,Medium
4,4.2,4.6,8.5,3,3,100,0.5,Medium
5,6.5,5.7,9.2,6,2,98,0.64,Medium
6,9.2,1.5,9.2,3,2,94,0.77,High
7,8.5,2.5,5.8,6,3,97,0.66,Medium
8,7.4,5.3,4.8,5,3,84,0.49,Medium
9,7.6,4.0,3.5,0,3,70,0.36,Medium
10,7.2,3.3,5.9,6,1,100,0.59,Medium
11,6.9,3.7,7.8,2,3,100,0.56,Medium
12,8.1,2.0,4.0,1,0,100,0.45,Medium
13,7.4,3.8,5.6,1,2,96,0.46,Medium
14,5.9,5.9,8.1,6,2,83,0.57,Medium
15,8.0,7.5,7.3,2,5,77,0.49,Medium
16,8.0,4.7,10.0,1,2,87,0.62,Medium
17,9.7,5.9,9.9,6,0,100,0.75,High
18,8.8,4.9,5.8,2,3,93,0.51,Medium
19,9.1,6.2,9.6,4,5,88,0.7,High
20,5.4,2.4,7.9,6,3,92,0.65,Medium
21,6.4,5.0,8.1,7,1,60,0.63,Medium
22,5.2,4.9,6.4,0,5,82,0.39,Medium
23,7.8,6.8,7.3,7,1,100,0.59,Medium
24,6.5,6.1,9.3,1,1,100,0.5,Medium
25,5.2,9.5,1.8,1,5,80,0.1,Low
26,7.7,6.6,7.4,5,5,89,0.58,Medium
27,4.0,3.8,10.0,7,2,92,0.67,Medium
28,7.8,7.1,8.7,7,4,88,0.66,Medium
29,7.7,5.3,4.7,2,2,95,0.41,Medium
30,5.8,3.9,4.5,4,4,100,0.45,Medium
31,6.8,7.8,5.1,7,1,100,0.44,Medium
32,6.8,4.3,5.2,3,4,93,0.47,Medium
33,7.1,4.3,6.6,7,5,94,0.64,Medium
34,5.3,6.9,5.4,7,0,76,0.42,Medium
35,7.5,3.9,6.7,0,1,100,0.47,Medium
36,6.3,5.1,7.8,6,3,89,0.6,Medium
37,6.4,5.9,8.8,0,4,86,0.48,Medium
38,7.9,3.3,4.5,2,3,100,0.47,Medium
39,9.4,2.4,9.8,6,3,100,0.85,High
40,7.4,7.9,3.8,6,4,100,0.41,Medium
41,8.9,8.4,5.0,4,4,80,0.44,Medium
42,6.8,5.6,8.1,7,5,91,0.65,Medium
43,6.9,6.0,7.3,6,3,100,0.57,Medium
44,4.4,5.4,8.5,5,2,96,0.53,Medium
45,8.7,4.4,6.1,2,5,100,0.55,Medium
46,5.9,4.9,8.8,7,1,78,0.64,Medium
47,5.2,4.9,9.0,3,0,99,0.52,Medium
48,7.6,7.2,4.8,7,5,100,0.5,Medium
49,6.8,5.2,8.8,2,4,84,0.56,Medium
50,6.1,4.4,4.4,5,5,84,0.47,Medium
51,8.4,8.1,7.0,4,4,79,0.51,Medium
52,5.6,7.3,6.5,2,2,88,0.36,Medium
53,6.5,6.3,5.3,7,2,98,0.49,Medium
54,6.7,2.1,7.4,6,0,70,0.66,Medium
55,5.8,4.0,9.5,5,1,100,0.64,Medium
56,7.0,7.7,5.5,2,4,98,0.37,Medium
57,7.5,7.2,9.6,1,4,79,0.54,Medium
58,4.6,6.4,9.2,2,2,88,0.46,Medium
59,6.2,5.8,5.4,5,5,96,0.47,Medium
60,6.6,8.7,5.5,2,1,100,0.31,Low
61,7.0,5.4,3.4,7,4,97,0.47,Medium
62,7.9,4.0,9.0,1,2,100,0.6,Medium
63,5.0,6.0,8.6,2,1,75,0.45,Medium
64,9.1,3.6,9.2,7,3,96,0.81,High
65,6.0,6.0,3.8,5,1,99,0.37,Medium
66,6.6,4.2,7.3,0,0,83,0.45,Medium
67,9.6,6.4,8.1,5,0,76,0.63,Medium
68,8.6,7.3,10.0,6,4,79,0.71,High
69,5.1,8.4,5.5,1,3,86,0.26,Low
70,8.7,5.3,6.7,7,5,97,0.67,Medium
71,5.1,4.4,6.6,7,4,96,0.56,Medium
72,8.6,1.0,8.7,6,4,85,0.83,High
73,7.8,8.9,8.1,5,0,99,0.51,Medium
74,9.3,4.9,5.8,7,0,100,0.62,Medium
75,5.9,4.5,3.5,2,3,100,0.34,Medium
76,7.3,7.9,5.6,0,1,98,0.31,Low
77,5.6,4.1,6.3,5,5,77,0.54,Medium
78,7.8,6.8,7.1,7,5,100,0.61,Medium
79,6.5,4.0,8.8,3,3,100,0.6,Medium
80,9.2,4.1,3.9,5,2,70,0.53,Medium
81,7.6,5.8,8.7,6,5,96,0.67,High
82,4.0,3.6,6.9,3,1,100,0.44,Medium
83,7.9,1.8,7.5,0,4,53,0.6,Medium
84,8.5,2.6,5.0,4,0,96,0.56,Medium
85,7.2,7.5,5.2,0,5,100,0.33,Low
86,6.8,4.1,6.3,3,0,100,0.49,Medium
87,8.8,4.3,2.9,7,3,100,0.53,Medium
88,6.4,6.6,7.0,7,3,94,0.55,Medium
